,AlSi,CaSi,FeSi,MgSi,SSi
"('Linear Regression',)",0.01033942902419771,0.14672975521269138,0.010339428936087858,0.11334368746951018,0.13241471248183256
"('Random Forest Regression',)",7.0111334792288815e-06,0.05150786838038412,6.903463490082195e-06,0.02471013876010264,-2.290325245384154
"('Bayesian Ridge',)",0.0020571624771715813,0.04609463759103327,0.0020571620269584923,0.021223579431995265,-2.2737686787820253
"('Polynomial Regression 2',)",0.007208694153797102,0.11888171897701738,0.00720869402664881,0.08597165082635305,-2.306757482259933
"('Polynomial Regression 3',)",0.0006175346419785566,0.051358302456621874,0.0006175331399035366,0.022016932631191977,-2.500925003186505
Neural Network,0.07439430714646966,-0.08108832168762059,-0.21128836034857534,0.0921597968732385,-0.02975806970952899
